2019-11-11,Louisiana Tech,76,Sam Houston St,69
2019-11-11,Marshall,76,Hofstra,72
2019-11-11,Michigan St,106,Florida Gulf Coast,82
2019-11-11,Mississippi St,77,Hartford,59
2019-11-11,Missouri St,83,Stetson,70
2019-11-11,North Dakota St,82,UC Santa Barbara,63
2019-11-11,Nebraska,87,Southeastern Louisiana,35
2019-11-11,NJIT,63,Brown,60
2019-11-11,North Texas,68,Hawaii,51
2019-11-11,Ohio St,107,Fort Wayne,61
2019-11-11,Rutgers,95,Drexel,66
2019-11-11,Seattle,82,Bryant,59
2019-11-11,Southern Miss,74,SMU,64
2019-11-11,Saint Mary's,92,Utah Valley,63
2019-11-11,TCU,79,Oral Roberts,62
2019-11-11,Vanderbilt,82,USC,78
2019-11-11,Virginia,76,George Washington,57
2019-11-11,Washington St,89,Nicholls St,72
2019-11-12,Arizona St,90,Long Beach St,58
2019-11-12,Arkansas,81,UC Davis,58
2019-11-12,Baylor,91,Prairie View A&M,80
2019-11-12,Belmont,92,Middle Tennessee,73
2019-11-12,Buffalo,62,Southern Illinois,53
2019-11-12,Butler,84,Detroit,63
2019-11-12,DePaul,91,Morgan St,63
2019-11-12,Duquesne,89,Illinois Chicago,88
2019-11-12,Grand Canyon,76,Jacksonville,59
2019-11-12,Iowa St,85,Texas Southern,73
2019-11-12,Kansas,84,Vermont,68
2019-11-12,Kansas St,64,Denver,56
2019-11-12,Maryland,82,North Carolina A&T,59
2019-11-12,Minnesota,78,Utah,69
2019-11-12,Niagara,80,St. Bonaventure,72
2019-11-12,North Carolina,90,Stanford,72
2019-11-12,Northwestern,63,American Univ,51
2019-11-12,Ohio,81,Campbell,73
2019-11-12,Oklahoma,87,UTSA,67
2019-11-12,Penn St,76,Jacksonville St,61
2019-11-12,Pittsburgh,84,Troy,75
2019-11-12,Rice,73,Alabama A&M,59
2019-11-12,Samford,74,Kennesaw St,60
2019-11-12,South Dakota,90,Northern Arizona,74
2019-11-12,South Florida,74,Austin Peay,70
2019-11-12,Saint Joseph's,78,Monmouth,63
2019-11-12,Texas,65,Louisiana Monroe,55
2019-11-12,UT Rio Grande Valley,76,Texas A&M Corpus Chris,69
2019-11-12,UMBC,75,Manhattan,52
2019-11-12,VCU,72,Bowling Green,61
2019-11-12,Washington,66,San Diego,63
2019-11-13,Little Rock,83,Tennessee St,67
2019-11-13,BYU,82,Northwestern St,57
2019-11-13,California,80,Hampton,66
2019-11-13,Canisius,82,Bucknell,73
2019-11-13,Central Connecticut,86,UMass Lowell,74
2019-11-13,Charleston Southern,89,South Carolina St,72
2019-11-13,Cincinnati,73,North Carolina Central,51
2019-11-13,College of Charleston,66,Rhode Island,55
2019-11-13,Colorado,100,Drake,71
2019-11-13,FIU,86,Milwaukee,83
2019-11-13,Furman,88,Gardner Webb,86
2019-11-13,Georgia Southern,98,George Mason,89
2019-11-13,Georgetown,88,Illinois,80
2019-11-13,Georgia St,62,Mercer,60
2019-11-13,Harvard,74,Massachusetts,71
2019-11-13,Illinois St,75,Chicago St,71
2019-11-13,Lehigh,78,Marist,72
2019-11-13,LIU Brooklyn,89,Fairfield,87
2019-11-13,Longwood,66,Maryland Eastern Shore,63
2019-11-13,Louisville,104,Southern Univ,54
2019-11-13,Loyola Marymount,79,Cal St Northridge,64
2019-11-13,Loyola MD,91,Delaware St,62
2019-11-13,LSU,85,Memphis,76
2019-11-13,Miami FL,96,Stephen F. Austin,58
2019-11-13,Northern Colorado,88,Pepperdine,80
2019-11-13,North Carolina St,100,UNC Asheville,49
2019-11-13,New Mexico,90,Iona,83
