player_name,team,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts
Jordan Tyson,Georgia St,33,30.9,100.4,11.8,51.9,55.84,6.2,15.7,1.7,21,25,39,0.641,28,54,0.519,0,0,0,7.8,1.5,72.2,3,0.0787869,89.2948,7.9,101.24,100.109,1.25914,85.44,-0.601419,-3.51831,2.91689,-3.98062,12.2647,-5.55301,1.57239,0.7647,1.7647,2.5294,0.1176,0.3235,0.7941,2.5294
Ryan Luther,Arizona,32,61.8,111.1,17.8,54,55.77,8.4,12.1,10,15.3,26,34,0.765,54,105,0.514,45,120,0.375,0.7,2,15.1,3,1.97307,110.467,4,99.8149,96.1151,2.85934,148.091,5.07508,2.97219,2.10289,4.33873,24.9062,2.43748,1.90125,1.8438,2.5,4.3438,1.2188,0.8438,0.1562,8.4062
Brock Stull,Minnesota,32,22.5,86.8,9.6,50,51.28,2.4,11.2,10.3,33.8,2,2,1,5,17,0.294,10,23,0.435,0.6,1.1,5,3,-0.3028,78.8328,2,105.336,99.3741,1.05611,50.7175,-0.175463,-1.67575,1.50028,-0.440724,10.1562,-1.94711,1.50638,0.2188,1,1.2188,0.5938,0.1875,0.0625,1.3125
Cane Broome,Cincinnati,35,52.7,106,22.3,45.4,50.02,1.7,7.7,21.4,15.6,63,84,0.75,70,149,0.47,29,101,0.287,0.2,1.8,33.6,3,1.82757,112.445,1.9,100.95,97.4332,2.34234,112.331,1.15587,1.67777,-0.521897,2.46727,21.2286,1.30925,1.15802,0.3143,1.3429,1.6571,2.2,0.6286,0.0286,8.2857
Brandone Francis,Texas Tech,38,59.5,97.7,16,46.4,48.03,1.7,9.4,9.8,13.9,24,36,0.667,45,107,0.421,44,132,0.333,1,1.8,15.1,3,0.803306,97.1783,3.6,92.0639,87.2693,3.48671,155.62,3.96661,1.2815,2.68511,2.70482,23.9737,-0.501389,3.20621,0.3158,2,2.3158,1.2895,0.7368,0.1842,6.4737
Trey Touchet,McNeese St,25,64.2,97.9,12.5,45.3,46.79,0.7,11.4,20.1,19.7,10,14,0.714,28,64,0.438,20,64,0.313,0.3,1.6,10.9,3,-0.249575,84.8657,2.2,113.195,115.984,1.29707,112.167,-3.83297,-1.64062,-2.19235,-4.07146,26.9655,-2.83195,-1.2395,0.2414,2.4138,2.6552,3,0.8276,0.069,4.7241
Terry Winn III,UT Rio Grande Valley,35,73.8,92.7,23.5,44.2,50.15,2.9,15.6,12.3,17.8,124,172,0.721,154,340,0.453,1,12,0.083,0.7,1.8,48.9,3,0.936191,96.6028,2.4,100.897,101.317,2.89954,184.463,-3.3176,-3.24587,-0.0717342,-1.43051,29.6757,-1.1665,-0.264006,0.8108,3.8649,4.6757,1.6216,0.9459,0.1622,12.6216
Jamuni McNeace,Oklahoma,30,33.5,92.2,18.8,50,49.04,7,17.6,4.7,16.7,21,50,0.42,60,120,0.5,0,0,0,6.1,0.6,41.7,3,0.530264,97.5316,5.8,96.4703,90.7344,2.03844,95.12,1.42169,-2.29339,3.71508,-0.30141,15.2333,-2.64081,2.3394,0.9333,2.6,3.5333,0.3667,0.1667,0.8333,4.7
J.C. Show,Binghamton,31,84.6,102.1,18.1,51.9,53.75,0.9,10.9,7.2,12.3,30,36,0.833,42,107,0.393,81,208,0.389,0.1,1.8,11.4,3,1.28826,98.4297,1.8,110.803,114.626,1.74162,164.259,-2.4064,0.584215,-2.99062,-2.2171,33.2121,-0.344066,-1.87304,0.2424,3.2424,3.4848,1.1212,1,0.0303,11.3939
Paschal Chukwu,Syracuse,33,48.5,121.4,12,72.1,70.45,13.7,16.3,2.3,23.1,46,72,0.639,49,68,0.721,0,0,0,12.2,2.2,105.9,3,1.83566,113.929,6,93.7717,89.3618,2.7806,147.637,9.3026,1.63655,7.66605,4.1706,20.0606,0.14685,4.02375,2.4545,2.9091,5.3636,0.2424,0.7273,1.7273,4.3636
